Date,Input Tokens,Output Tokens,User,Cost
2024-12-07,36,1080,Stéphane,0.0262
2024-12-07,675,1620,Stéphane,0.0443
2024-12-07,25,2700,Stéphane,0.0650
2024-12-08,26,3375,Stéphane,0.0812
2024-12-08,36,2025,Stéphane,0.0489
2024-12-06,405,1350,Stéphane,0.0356
2024-12-06,540,2025,Stéphane,0.0529
2024-12-05,473,2430,Stéphane,0.0621
2024-12-05,540,2700,Stéphane,0.0691
2024-12-04,810,2970,Stéphane,0.0778
2024-12-07,36,30,Stéphane,0.0010
2024-12-07,12,40,Stéphane,0.0011
2024-12-07,25,19,Stéphane,0.0007
2024-12-08,26,25,Stéphane,0.0008
